Denominación_social,Domicilio_social,Latitud,Longitud,Fecha_constitución,CNAE,Objeto_social,Tamaño_empresa_por_facturación,Índice_crec_interanual_ventas,Tamaño_empresa_por_empleados,Empleo_fijo,Empleo_temporal,Teléfono,Estado,URL,Metatag_descripción,RRSS,Cotización_en_bolsa,Actividad_internacional,Capital_social,Empleados,Empleados_año,Resultado
Grupo Gerardo De La Calle Sl.,"CARRETERA PALENCIA (KM 2,8)",41.67179731,-3.69192201,22/06/2011,"7490 - Otras actividades profesionales, científicas y técnicas n.c.o.p.",Servicios administrativos del grupo.,"Entre 1,5 y 3 millones €","2017: 
2018: 20,66 %
2019: -8,18 %",Entre 5 y 25,"2015: 100,00 %
2016: 92,30 %
2017: 92,85 %
2018: 92,85 %
2019: 81,25 %","2015: 0 %
2016: 7,69 %
2017: 7,14 %
2018: 7,14 %
2019: 18,75 %",947504600,Activa,http://www.grupogerardodelacalle.com,"- Grupo Industrial Gerardo de la calle, artepref, desarrollos industriales prado marina, hormigones y excavaciones, suelo industrial, prefabricados de hormigón, hormigones, excavaciones, suelo industrial, áridos, calferman",,NO,No constan,1.555.968 €,16 (año 2019),2019,Positivo Consultar
Neumaticos Sualdea Sl,"POLIGONO INDUSTRIAL ALLENDE DE DUERO, 130",41.670238,-3.711496,12/06/1990,4532 - Comercio al por menor de repuestos y accesorios de vehículos de motor,"Comercio al por menor de accesorios para vehículos de motor, principalmente neumáticos y gestión de taller de reparación de vehículos.","Entre 1,5 y 3 millones €","2017: 
2018: 11,46 %
2019: -5,59 %",Entre 5 y 25,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 82,35 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 17,64 %",947509317,Activa,-,-,-,NO,No constan,"6.010,12 €",16 (año 2020),2020,Positivo Consultar
Iglevesa Sa,"AVENIDA COSTAJAN, 9 - 9",41.691695,-3.685678,19/12/1975,4941 - Transporte de mercancías por carretera,Transporte nacional e internacional de mercancías,"Entre 1,5 y 3 millones €","2017: 
2018: 10,93 %
2019: -7,22 %",Entre 25 y 50,"2016: 100,00 %
2018: 100,00 %
2019: 100,00 %","2016: 0 %
2018: 0 %
2019: 0 %",947503712,Activa,-,-,-,NO,No constan,"112.894,11 €",36 (año 2021),2021,Positivo Consultar
Almacenes Sualdea Sl,"POLIGONO INDUSTRIAL ALLENDE DE DUERO (CL CR. VALLADOLID), 50",41.670238,-3.711496,12/06/1989,4631 - Comercio al por mayor de frutas y hortalizas,Comercio al por mayor de patatas,"Entre 1,5 y 3 millones €","2017: 
2018: -5,12 %
2019: 22,47 %",Entre 5 y 25,"2015: 90,00 %
2016: 81,81 %
2017: 70,00 %
2018: 71,42 %
2019: 80,00 %","2015: 10,00 %
2016: 18,18 %
2017: 30,00 %
2018: 28,57 %
2019: 20,00 %",947500728,Activa,-,-,-,NO,Importa y Exporta,"3.606,07 €",10 (año 2020),2020,Positivo Consultar
Vimartipal Sl,"PLAZA VIRGENCILLA, S/N",41.67066412,-3.68504192,19/01/1998,5610 - Restaurantes y puestos de comidas,Restaurante especializado en cordero asado de lechazo.,"Entre 1,5 y 3 millones €","2017: 
2018: 2,9 %
2019: 1,44 %",Entre 25 y 50,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 77,77 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 22,22 %",947548091,Activa,http://www.lagardemilagros.com,"El Lagar de Milagros. Cordero lechal al horno y vinos de la Ribera del Duero en un rústico asador con zona de barra y tienda propia. cordero, horno, lechazo, vino, Ribera del Duero, asador, barra, tienda",,NO,No constan,"60.101,21 €",27 (año 2020),2020,Positivo Consultar
Grupo Dismar Duero Sl,"AVENIDA PORTUGAL, 52 - PG INDUSTRIAL ALLENDEDUERO",41.66871,-3.706998,02/02/2000,"4752 - Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados","Comercio al por menor de materiales de construcción, ferretería y pintura.","Entre 1,5 y 3 millones €","2017: 
2018: 7,18 %
2019: 4,62 %",Entre 5 y 25,"2015: 100,00 %
2016: 100,00 %
2017: 92,85 %
2018: 93,33 %
2019: 93,75 %","2015: 0 %
2016: 0 %
2017: 7,14 %
2018: 6,66 %
2019: 6,25 %",947513281,Activa,http://www.dismar.bigmat.es,"Bigmat, tiendas para el profesional de la construcción con miles de productos y materiales de construcción a su disposición. tienda, construcción, materiales, herramientas, profesionales, reformas",,NO,Importa,"314.910,02 €",13 (año 2020),2020,Positivo Consultar
Isacio Arranz E Hijos Sl,"AVENIDA MONTECILLO, 61 - 63",41.67134671,-3.71051005,06/04/1995,0163 - Actividades de preparación posterior a la cosecha,Desinfección y control de plagas.,"Entre 1,5 y 3 millones €","2017: 
2018: 21,3 %
2019: 7,87 %",Entre 5 y 25,"2015: 81,81 %
2016: 81,81 %
2017: 83,33 %
2018: 83,33 %
2019: 70,58 %","2015: 18,18 %
2016: 18,18 %
2017: 16,66 %
2018: 16,66 %
2019: 29,41 %",947505050,Activa,http://www.eurocastell.net,- -,,NO,No constan,"117.077,16 €",12 (año 2020),2020,Negativo Consultar
Ibame Sl,"PLAZA CORAZON DE MARIA, 7",41.669337,-3.685779,29/09/1988,9329 - Otras actividades recreativas y de entretenimiento,Explotación de salas de juego y máquinas recreativas.,"Entre 1,5 y 3 millones €","2017: 
2018: 20,37 %
2019: 13,43 %",Entre 5 y 25,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 91,66 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 8,33 %",947501410,Activa,-,-,-,NO,No constan,"3.606,07 €",9 (año 2020),2020,Positivo Consultar
Lucio Mozo Sl,"AVENIDA PORTUGAL, PARC. 81",41.664894,-3.739271,01/01/1989,2512 - Fabricación de carpintería metálica,Servicios carpintería metálica de todo tipo.,"Entre 1,5 y 3 millones €","2017: 
2018: 22,75 %
2019: -18,68 %",Entre 25 y 50,"2015: 88,23 %
2016: 85,00 %
2017: 85,00 %
2018: 86,95 %
2019: 85,71 %","2015: 11,76 %
2016: 15,00 %
2017: 15,00 %
2018: 13,04 %
2019: 14,28 %",947509857,Activa,http://www.luciomozo.com,"Empresa dedicada al mantenimiento industrial, carpintería metálica, construcción y mecanizado de alta precisión. Distribuidor oficial de Carburos Metálicos -",,NO,Importa y Exporta,"28.848,58 €",25 (año 2020),2020,Positivo Consultar
Carnicas Chico Sl,"CALLE LEON, S/N",41.66591835,-3.71060848,05/08/2010,4632 - Comercio al por mayor de carne y productos cárnicos,"La comercialización, distribución y despiece de todo tipo de productos cárnicos","Entre 1,5 y 3 millones €","2017: 
2018: -30,83 %
2019: -18,46 %",Entre 5 y 25,"2015: 36,36 %
2016: 53,33 %
2017: 66,66 %
2018: 57,14 %
2019: 60,00 %","2015: 63,63 %
2016: 46,66 %
2017: 33,33 %
2018: 42,85 %
2019: 40,00 %",-,Activa,-,-,-,NO,No constan,10.340 €,5 (año 2019),2019,Positivo Consultar
Dominio De Cair Sl,CARRETERA ARANDA (KM 9),41.679609,-3.704863,26/03/2009,1102 - Elaboración de vinos,"EXPLOTACION Y DESARROLLO DE FINCAS EN SUS VERTIENTES AGRICOLA Y VITICOLA, ASI COMO SU COMERCIALIZACION. ADQUISICION DE FINCAS Y SU ARRENDAMIENTO. PRESTACION DE SERVICIOS DE ASISTENCIA TECNICA Y ASESORAMIENTO QUE GUARDEN","Entre 1,5 y 3 millones €","2017: 
2018: 8,45 %
2019: -3,37 %",Entre 5 y 25,"2015: 85,71 %
2016: 100,00 %
2017: 88,88 %
2018: 100,00 %
2019: 100,00 %","2015: 14,28 %
2016: 0 %
2017: 11,11 %
2018: 0 %
2019: 0 %",947545276,Activa,http://www.dominiodecair.com,"Fruto del carácter inquieto del bodeguero Juan Luis Cañas nace Dominio de Cair, un nuevo reto que se resume en un fin, hacer grandes vinos en una tierra excepcional, la Ribera del Duero. Bodega, Ribera de Duero, vino, enoturismo, Luis Cañas, tempranillo, Merlot, winebar, Crianza, Dominio de Cair, Tierras de Cair, Cair Cuvée, ","https://www.facebook.com/pages/Bodega-Dominio-de-Cair/360603777349599?fref=ts, https://twitter.com/dominiodecair, https://twitter.com/DominioDeCair?ref_src=twsrc%5Etfw",NO,Exporta,10.576.000 €,8 (año 2019),2019,Negativo Consultar
Talleres Anmar Sl,CARRETERA BURGOS (KM 160),41.684365,-3.686574,04/12/1981,2562 - Ingeniería mecánica por cuenta de terceros,"Explotación y gestión de taller mecanizado de piezas, soldadura y calderería.","Entre 1,5 y 3 millones €","2017: 
2018: 3,78 %
2019: 3,43 %",Entre 5 y 25,"2015: 80,95 %
2016: 85,71 %
2017: 86,36 %
2018: 94,73 %
2019: 90,47 %","2015: 19,04 %
2016: 14,28 %
2017: 13,63 %
2018: 5,26 %
2019: 9,52 %",947503050,Activa,-,-,-,NO,Importa y Exporta,"18.030,37 €",22 (año 2020),2020,Positivo Consultar
Bernardo Cuevas E Hijos Sl,"CALLE SENDIN, 48 - BAJO",41.67155488,-3.70412509,15/06/2000,1013 - Elaboración de productos cárnicos y de volatería,Fabricación de embutidos y fiambres.,"Entre 1,5 y 3 millones €","2017: 
2018: 11,36 %
2019: 11,48 %",Entre 5 y 25,"2015: 100,00 %
2016: 100,00 %
2017: 87,50 %
2018: 87,50 %
2019: 87,50 %","2015: 0 %
2016: 0 %
2017: 12,50 %
2018: 12,50 %
2019: 12,50 %",947509474,Activa,http://www.cuevasaranda.es,"Cárnicas Cuevas Aranda, para comprar lechazo churro online GARANTÍA DE CALIDAD. LECHAZO  IGP TIENDA ONLINE comprar lechazo churro, comprar Lechazo Churro, comprar lechazo online, comprar online lechazo, Cárnicas Cuevas Aranda, cárnicas cuevas aranda, cuevas aranda,","https://www.facebook.com/Carniceria-Cuevas-101183449964868/, https://twitter.com/CCuevasAranda",NO,No constan,95.000 €,8 (año 2020),2020,Positivo Consultar
Transportes Valasun Sl,"AVENIDA PORTUGAL, 93",41.66861651,-3.70685228,18/12/1997,4941 - Transporte de mercancías por carretera,Transporte nacional de mercancías por carretera.,"Entre 1,5 y 3 millones €","2017: 
2018: -1,7 %
2019: -3,84 %",Entre 5 y 25,"2015: 100,00 %
2016: 100,00 %
2017: 92,85 %
2018: 100,00 %
2019: 92,85 %","2015: 0 %
2016: 0 %
2017: 7,14 %
2018: 0 %
2019: 7,14 %",947508981,Activa,-,-,-,NO,No constan,"60.101,21 €",14 (año 2019),2019,Positivo Consultar
Servicio De Hosteleria Page Sl,"PLAZA DOCTOR COSTALES, 5 - BJ",41.67640462,-3.68589583,11/01/1992,5510 - Hoteles y alojamientos similares,Gestión y explotación de hoteles y restaurante,"Entre 1,5 y 3 millones €","2017: 
2018: -2,15 %
2019: 12 %",Entre 25 y 50,"2015: 86,95 %
2016: 88,00 %
2017: 95,83 %
2018: 76,92 %
2019: 76,00 %","2015: 13,04 %
2016: 12,00 %
2017: 4,16 %
2018: 23,07 %
2019: 24,00 %",947501600,Activa,http://www.hotelaranda.com,Hotel Aranda ** es un cómodo hotel de estilo clásico a 10 min. a pie del centro de Aranda de Duero. Ideal para turismo y negocios. Web oficial. -,,NO,No constan,2.138.400 €,26 (año 2020),2020,Positivo Consultar
Construcciones Electromecanicas Aranda Sl,"AVENIDA PORTUGAL (PG ALLEN), S/N - Nº 97",41.664894,-3.739271,19/07/2005,4321 - Instalaciones eléctricas,Montaje e instalación de cuadros eléctricos.,"Entre 1,5 y 3 millones €","2017: 
2018: -10,83 %
2019: 11,67 %",Entre 25 y 50,"2015: 83,33 %
2016: 89,47 %
2017: 90,24 %
2018: 84,61 %
2019: 85,36 %","2015: 16,66 %
2016: 10,52 %
2017: 9,75 %
2018: 15,38 %
2019: 14,63 %",947515502,Activa,http://www.cearanda.com,Construcciones Electromecánicas Aranda S.L.- Grupo Consonni -,,NO,No constan,150.000 €,37 (año 2020),2020,Negativo Consultar
Comercial Mavic Distribucion Huerta Sl.,"CALLE ASTURIAS (POL IND ALLENDUERO), 1",41.672269,-3.705634,22/03/2012,4634 - Comercio al por mayor de bebidas,"Comercio al por mayor de todo tipo de bebidas, alcohólicas y no alcohólicas.","Entre 1,5 y 3 millones €","2017: 
2018: -8,22 %
2019: -2,14 %",Entre 5 y 25,"2015: 50,00 %
2016: 92,85 %
2017: 50,00 %
2018: 72,72 %
2019: 60,00 %","2015: 50,00 %
2016: 7,14 %
2017: 50,00 %
2018: 27,27 %
2019: 40,00 %",947517107,Activa,-,-,-,NO,No constan,4.000 €,10 (año 2020),2020,Positivo Consultar
Comercial Agricola Ganadera Sl,"AVENIDA FERIAL, 8 - BJ",41.67346834,-3.68375945,19/01/1984,4675 - Comercio al por mayor de productos químicos,Comercio al por mayor de productos fitosanitarios.,"Entre 1,5 y 3 millones €","2017: 
2018: 1,45 %
2019: -15,14 %",Menos de 5,"2015: 75,00 %
2016: 75,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 25,00 %
2016: 25,00 %
2017: 0 %
2018: 0 %
2019: 0 %",947501854,Activa,-,-,-,NO,No constan,"12.020,24 €",2 (año 2020),2020,Positivo Consultar
Restaranda Sl,"CALLE ISILLA, 18",41.67116343,-3.68625203,01/12/1994,1102 - Elaboración de vinos,"Vitivinicultura, alquiler y compraventa de viñedos, fincas, plantar viñedos, así como, comprar y vender uva. Explotación y comercializacion agrícola y ganadera. Elabora-ción, almacenaje, distribución de productos artesanales. Alquiler y compraventa de inmuebles.","Entre 1,5 y 3 millones €","2017: 
2018: 6,06 %
2019: 1,61 %",Entre 25 y 50,"2015: 85,00 %
2016: 95,00 %
2017: 100,00 %
2018: 91,66 %
2019: 92,00 %","2015: 15,00 %
2016: 5,00 %
2017: 0 %
2018: 8,33 %
2019: 8,00 %",947504316,Activa,http://www.lagarisilla.es,"Hotel con encanto 4 estrellas en Ribera del Duero, ambiente unico, tranquilo con todas las comodidades. A 18 km de Aranda de Duero en la bodega El Lagar de Isilla El Lagar de Isilla, hotel  Ribera del Duero, hotel con encanto,  boutique, hotel del vino,  aranda de duero,escapada, ofertas alojamientos,fin de semana, enoturismo","https://www.facebook.com/lagarisilla, https://twitter.com/lagarisilla, https://instagram.com/lagarisilla?igshid=1eb0vsm2dz8cv",NO,No constan,"63.106,27 €",25 (año 2020),2020,Positivo Consultar
Bodegas Vinaranda Sl,"CALLE PICOTE, 18",41.67018253,-3.70542459,06/03/1998,1102 - Elaboración de vinos,Elaboracion y venta al por mayor y menor de vinos en general,"Entre 1,5 y 3 millones €","2017: 
2018: -24,81 %
2019: -2,91 %",Menos de 5,"2015: 0 %
2016: 0 %
2018: 0 %
2019: 50,00 %","2015: 100,00 %
2016: 100,00 %
2018: 100,00 %
2019: 50,00 %",947546414,Activa,http://www.vinabuena.com,- -,,NO,Importa,"43.272,88 €",3 (año 2020),2020,Positivo Consultar
Mantenimiento Industrial De La Ribera Sl,"CALLE LOGROÑO, S/N",41.665853,-3.70593,13/12/1993,2512 - Fabricación de carpintería metálica,Fabricación de estructuras metalicas,"Entre 1,5 y 3 millones €","2017: 
2018: -17,21 %
2019: -9,59 %",Entre 25 y 50,"2015: 93,87 %
2016: 97,95 %
2017: 91,83 %
2018: 90,00 %
2019: 77,41 %","2015: 6,12 %
2016: 2,04 %
2017: 8,16 %
2018: 10,00 %
2019: 22,58 %",947510562,Activa,http://www.mirsl.es,- -,,NO,No constan,"3.005,06 €",31 (año 2020),2020,Positivo Consultar
Residencial Ntra. Sra. De Las Viñas Sl.,CARRETERA AGUILERA (KM 6.5 COLEGIO SEMINARIO),41.731513,-3.772919,22/03/2012,8731 - Asistencia en establecimientos residenciales para personas mayores,"Creación, gestión y administración de residencias y centros para la atención integral de personas mayores y la prestación de dicha atención integralalas personas indicadas, pudiendo llevar a cabo, entre otras, el cuidado personal, la atención médico-sanitaria, religiosa y actividades de ocio","Entre 1,5 y 3 millones €","2017: 
2018: 33,67 %
2019: 21,48 %",Entre 25 y 50,"2016: 93,33 %
2017: 84,21 %
2018: 61,36 %
2019: 69,56 %","2016: 6,66 %
2017: 15,78 %
2018: 38,63 %
2019: 30,43 %",-,Activa,-,-,-,NO,No constan,650.000 €,46 (año 2019),2019,Positivo Consultar
Gestion De Viñedos Sl,"PLAZA JARDINES DE DON DIEGO, 1 - PISO 1 D",41.66986921,-3.68616389,17/03/2009,0161 - Actividades de apoyo a la agricultura,"REALIZACION DE TRABAJOS DE PLANTACION, SIEMBRA, CULTIVO, TRANSPORTE Y TRATAMIENTO AGRICOLA DE TIERRAS Y PRODUCTOS E INSTALACIONES AGRICOLAS, FORESTALES Y VINICOLAS Y SU COMERCIALIZACION. ACTIVIDADES DE SERVICIOS RELACION","Entre 1,5 y 3 millones €","2017: 
2018: 68,69 %
2019: 37,73 %",Entre 50 y 250,"2015: 11,53 %
2016: 4,65 %
2017: 9,37 %
2018: 12,00 %
2019: 7,46 %","2015: 88,46 %
2016: 95,34 %
2017: 90,62 %
2018: 88,00 %
2019: 92,53 %",-,Activa,-,-,-,NO,No constan,30.000 €,67 (año 2019),2019,Positivo Consultar
Becargo Mercancias Sl.,"AVENIDA PORTUGAL, 64 - OFICINA 2",41.668573,-3.708212,30/12/2014,4941 - Transporte de mercancías por carretera,Transporte de mercancías por carretera y operador de transporte,"Entre 1,5 y 3 millones €","2017: 
2018: -6,11 %
2019: -22,89 %",Entre 5 y 25,"2015: 50,00 %
2016: 66,66 %
2017: 44,44 %
2018: 66,66 %
2019: 54,54 %","2015: 50,00 %
2016: 33,33 %
2017: 55,55 %
2018: 33,33 %
2019: 45,45 %",-,Activa,-,-,-,NO,No constan,70.000 €,11 (año 2019),2019,Positivo Consultar
Cyll Operador De Transportes Sl.,"PLAZA SAN ANTONIO, 2 - PISO 2 D",41.672434,-3.689548,05/04/2013,4941 - Transporte de mercancías por carretera,-El transporte de mercancías por carretera y actividad de operador de transporte. -Compraventa de material de biomasa y de artículos de embalaje para transporte de mercancías,"Entre 1,5 y 3 millones €","2017: 
2018: 30,32 %
2019: -9,13 %",Menos de 5,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %",947510111,Activa,-,-,-,NO,Importa,60.000 €,3 (año 2019),2019,Positivo Consultar
Hermanos Cuñado Esteban Sl,"CALLE ISILLA, 20",41.67116979,-3.68615294,16/02/1993,4631 - Comercio al por mayor de frutas y hortalizas,Comercio al por mayor de frutas y verduras.,"Entre 1,5 y 3 millones €","2017: 
2018: -5,95 %
2019: -0 %",Entre 5 y 25,"2015: 88,88 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 88,88 %","2015: 11,11 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 11,11 %",947511053,Activa,-,-,-,NO,No constan,"42.070,85 €",9 (año 2020),2020,Positivo Consultar
Fruehauf Recambios Sl.,"CARRETERA VALLADOLID, 96",41.67541,-3.69465,23/05/2000,4531 - Comercio al por mayor de repuestos y accesorios de vehículos de motor,"La compraventa de recambios, accesorios, herramientas, así como de combustibles, lubricantes y aditivos, para toda clase de vehículos y maquinaria industrial. La fabricación, reparación, mantenimiento, compraventa y alquiler de vehículos y maquinaria industrial.","Entre 1,5 y 3 millones €","2017: 
2018: 28,68 %
2019: 355,55 %",Menos de 5,"2015: 100,00 %
2016: 50,00 %
2017: 33,33 %
2018: 33,33 %
2019: 50,00 %","2015: 0 %
2016: 50,00 %
2017: 66,66 %
2018: 66,66 %
2019: 50,00 %",947511880,Activa,-,-,-,NO,No constan,"12.000,01 €",2 (año 2019),2019,Positivo Consultar
Waltron Sl,"AVENIDA PORTUGAL, 92",41.66857651,-3.70722478,13/04/1985,1413 - Confección de otras prendas de vestir exteriores,Confección de pantalones para señora y caballero.,"Entre 1,5 y 3 millones €","2017: 
2018: 3,09 %
2019: 8,31 %",Entre 5 y 25,"2015: 100,00 %
2016: 90,00 %
2017: 88,88 %
2018: 80,00 %
2019: 90,00 %","2015: 0 %
2016: 10,00 %
2017: 11,11 %
2018: 20,00 %
2019: 10,00 %",947546325,Activa,http://www.waltronjeans.com,"Waltron S.L empresa dedicada a la fabricación y comercialización de pantalones 👖. La elaboración, el lavado y la confección se realiza en España ✅. -",https://www.facebook.com/pages/Waltron-SL/308531692516898,NO,Exporta,"18.030,36 €",7 (año 2020),2020,Positivo Consultar
Viajes Clemente Sa,"PLAZA SANTIAGO (CAN MANET), 7 - Nº53",41.672434,-3.689548,05/06/1982,7911 - Actividades de las agencias de viajes,Minoristas de viajes,"Entre 1,5 y 3 millones €","2017: 
2018: 13,3 %
2019: -18,92 %",Entre 5 y 25,"2015: 80,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 20,00 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %",947514004,Activa,http://www.viajesclemente.es,- -,,NO,No constan,"60.101,21 €",5 (año 2020),2020,Positivo Consultar
Autotuning Aranda Sl,"AVENIDA CASTILLA, 60 - BJ",41.66513861,-3.69131868,11/10/2004,4532 - Comercio al por menor de repuestos y accesorios de vehículos de motor,Explotación de tienda de recambios y repuestos de automóviles.,"Entre 1,5 y 3 millones €","2017: 
2018: -53,2 %
2019: -2,25 %",Entre 5 y 25,"2015: 66,66 %
2016: 80,00 %
2017: 80,00 %
2018: 80,00 %
2019: 80,00 %","2015: 33,33 %
2016: 20,00 %
2017: 20,00 %
2018: 20,00 %
2019: 20,00 %",947512913,Activa,-,-,-,NO,No constan,21.010 €,5 (año 2020),2020,Positivo Consultar
Tecnica Vehiculos Industriales De La Ribera Sl,"CALLE CONSTANTIN, 84",41.670419,-3.7100749,10/01/2006,4520 - Mantenimiento y reparación de vehículos de motor,Taller de vehículos industrial servicio oficial de Volvo camiones.,"Entre 1,5 y 3 millones €","2016: 
2018: 17,23 %
2019: -1,76 %",Entre 5 y 25,"2014: 87,50 %
2015: 88,88 %
2016: 90,00 %
2018: 90,00 %
2019: 100,00 %","2014: 12,50 %
2015: 11,11 %
2016: 10,00 %
2018: 10,00 %
2019: 0 %",947511100,Activa,http://www.tecvir.es,"Taller de camiones en Aranda de Duero | Talleres Volvo Burgos | Talleres TEC-VIR reparación de camiones y maquinaria industrial taller de camiones burgos, talleres volvo burgos, taller volvo camiones, talleres volvo camiones, talleres burgos, taller camiones burgos, talleres volvo burgos, taller mecánico camiones,",,NO,No constan,3.000 €,10 (año 2019),2019,Positivo Consultar
